test_match_cond,speaker_identity,trial_sequence_total,list_number,phase,condition,Answer.time_in_minutes,wrong_attempts,block_sequence,workerid,item_number,island_tested,response,Answer.condition,comp_question_exist,first_response_value,comp_answer
,,,,,,,,,,,,,,,,
mismatch,Thomas,9,1,exposure,CNPC,15.5312,,3,2,25,CNPC,0.26,undefined,1,,Gregory
,,,,,,,,,,,,,,,,
mismatch,Thomas,10,1,exposure,CNPC,15.5312,,4,2,28,CNPC,0.77,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,11,1,exposure,FILL,15.5312,,4,2,110,CNPC,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,12,1,exposure,UNGRAM,15.5312,,4,2,125,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,13,1,exposure,FILL,15.5312,,5,2,113,CNPC,0.66,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,14,1,exposure,UNGRAM,15.5312,,5,2,128,CNPC,0.03,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,15,1,exposure,CNPC,15.5312,,5,2,37,CNPC,0.17,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,16,1,exposure,FILL,15.5312,,6,2,106,CNPC,0.99,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,17,1,exposure,CNPC,15.5312,,6,2,16,CNPC,0.24,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,18,1,exposure,UNGRAM,15.5312,,6,2,121,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,19,1,exposure,CNPC,15.5312,,7,2,10,CNPC,0.67,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,20,1,exposure,UNGRAM,15.5312,,7,2,119,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,21,1,exposure,FILL,15.5312,,7,2,104,CNPC,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,22,1,exposure,CNPC,15.5312,,8,2,40,CNPC,0.15,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Emily,23,1,exposure,FILL,15.5312,,8,2,114,CNPC,0.89,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,24,1,exposure,UNGRAM,15.5312,,8,2,129,CNPC,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,25,1,exposure,CNPC,15.5312,,9,2,4,CNPC,0.19,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,26,1,exposure,FILL,15.5312,,9,2,102,CNPC,0.98,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,27,1,exposure,UNGRAM,15.5312,,9,2,117,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,28,1,exposure,UNGRAM,15.5312,,10,2,118,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,29,1,exposure,CNPC,15.5312,,10,2,7,CNPC,0.09,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Emily,30,1,exposure,FILL,15.5312,,10,2,103,CNPC,1,undefined,1,,Emily
,,,,,,,,,,,,,,,,
